	class	emotion	onomatopoeia	pitch	simile	timbre
14	playing harpsichord	evoking elegance and Baroque aesthetics	sounds like plink, clack, and trill	pitch is bright, crisp, and medium-high	like a rhythmic and precise performance with a unique resonance	timbre is a distinct and percussive plucking sound
15	playing bassoon	evoking warmth and depth	sounds like honk, growl, and trill	pitch is deep, rich, and low	like a deep and expressive woodwind instrument	timbre is woody, resonant, and expressive
16	playing piano	evoking a range of emotions from melancholy to joy	sounds like gentle keystrokes, cascading arpeggios, and powerful chords	pitch is melodic, precise, and varied	like a delicate and intricate musical performance	timbre is resonant, expressive, and nuanced
17	male speech, man speaking	evoking communication, expression, or storytelling	sounds like talk, articulate, and project	pitch is deep, resonant, and medium-low	like a confident and articulate conversation	timbre is clear and authoritative
18	playing volleyball	evoking competitiveness and teamwork	sounds like thud, smack, and squeak	pitch is energetic, sharp, and medium-high	like a rhythmic and dynamic exchange of hits and blocks	timbre is a combination of thumps, smacks, and squeaks
19	baby babbling	evoking innocence and curiosity	sounds like goo-goo, ga-ga, and baba	pitch is high, playful, and variable	like a joyful and exploratory vocalization	timbre is a mixture of cooing, gurgling, and babbling sounds
20	people whispering	evoking intimacy or secrecy	sounds like hush, whisper, and rustle	pitch is soft, hushed, and low	like a delicate and secretive conversation	timbre is a gentle and airy murmur
21	metronome	evoking a sense of rhythm and tempo	sounds like tick, tock, and click	pitch is steady, consistent, and medium	like a rhythmic and precise time-keeping device	timbre is a sharp and precise tick-tock
22	airplane	evoking a sense of awe or excitement	sounds like roar, rumble, and whir	pitch is deep, roaring, and low	like a thunderous and powerful machine in motion	timbre is a powerful and rumbling engine noise
23	playing harp	evoking tranquility and enchantment	sounds like pluck, glissando, and arpeggio	pitch is ethereal, delicate, and high	like a celestial and enchanting melody	timbre is a shimmering and resonant cascade of strings
24	coyote howling	evoking a sense of wilderness and mystery	sounds like howl, yip, and wail	pitch is haunting, eerie, and medium-high	like a haunting and lonely cry in the night	timbre is a mournful and echoing cry
25	people coughing	evoking discomfort or illness	sounds like cough, hack, and wheeze	pitch is short, sharp, and variable	like a sudden and involuntary release of air from the lungs	timbre is a dry and raspy expulsion of air
26	ambulance siren	evoking urgency and emergency	sounds like wail, whoop, and sireen	pitch is piercing, high, and fluctuating	like a piercing and urgent warning signal	timbre is a wailing, oscillating sound
27	rope skipping	evoking energy and playfulness	sounds like skip, thump, and swish	pitch is rhythmic, quick, and medium-high	like a rhythmic and repetitive skipping motion	timbre is a light and percussive thump
28	bird wings flapping	evoking a sense of freedom and nature	sounds like flutter, whoosh, and rustle	pitch is light, fluttering, and high	like the delicate and rapid flapping of wings	timbre is a rapid and airy fluttering sound
29	pheasant crowing	evoking a sense of presence or territoriality	sounds like caw-caw, kark-kark, and squawk	pitch is deep, resonant, and low	like a resonant and assertive call of a pheasant	timbre is a distinctive and raspy call
30	child singing	evoking innocence and joy	sounds like la-la-la, hum, and giggle	pitch is innocent, pure, and high	like a tender and heartfelt vocal performance	timbre is sweet and delicate
31	cap gun shooting	evoking excitement or surprise	sounds like bang, pop, and crack	pitch is sharp, sudden, and high	like a sudden and sharp burst of sound	timbre is a loud and explosive pop
32	male singing	evoking a range of emotions	sounds like croon, belt, and falsetto	pitch is deep, resonant, and expressive	like a powerful and emotive vocal performance	timbre is rich, full-bodied, and emotive
33	playing bass guitar	evoking a sense of groove and rhythm	sounds like thump, groove, and growl	pitch is deep, low, and resonant	like a steady and rhythmic foundation of the music	timbre is a deep and rumbling vibration
34	race car, auto racing	evoking excitement and speed	sounds like vroom, screech, and roar	pitch is high, roaring, and intense	like a thunderous and adrenaline-fueled symphony of engines	timbre is a powerful and aggressive rumble
35	playing violin, fiddle	evoking emotions such as melancholy or joy	sounds like bowing, trilling, and sliding	pitch is expressive, soaring, and high	like a soulful and expressive melody	timbre is a sweet and resonant tone
36	playing erhu	evoking emotions of longing or nostalgia	sounds like wail, glide, and tremolo	pitch is haunting, expressive, and medium-high	like a melancholic and expressive melody	timbre is a soulful and resonant tone
37	playing bongo	evoking energy and rhythm	sounds like thump, slap, and resonate	pitch is rhythmic, low, and resonant	like a rhythmic and vibrant drumming	timbre is a deep and percussive resonance
38	tap dancing	evoking energy and rhythm	sounds like click, clack, and shuffle	pitch is rhythmic, percussive, and medium-high	like a rhythmic and lively dance routine	timbre is a sharp and metallic tap
39	playing electronic organ	evoking a sense of modernity and electronic music	sounds like buzz, hum, and swell	pitch is bold, deep, and variable	like a vibrant and atmospheric electronic sound	timbre is a blend of electronic tones and harmonics
40	playing congas	evoking energy and rhythm	sounds like thump, slap, and roll	pitch is deep, resonant, and low	like a rhythmic and vibrant drumming pattern	timbre is a warm and percussive resonance
41	car passing by	evoking a sense of motion and speed	sounds like vroom, rumble, and whoosh	pitch is low, rumbling, and medium	like a powerful and swift movement	timbre is a deep and roaring engine noise
42	duck quacking	evoking a sense of nature or farm animals	sounds like quack, quack, and quack	pitch is high, sharp, and quick	like a repetitive and distinctive quacking sound	timbre is a nasal and raspy quack
43	playing acoustic guitar	evoking relaxation and introspection	sounds like strum, pluck, and twang	pitch is warm, mellow, and medium	like a melodic and rhythmic strumming of strings	timbre is a rich and resonant strumming
44	subway, metro, underground	evoking a sense of movement and urban environment	sounds like rumble, screech, and hiss	pitch is deep, rumbling, and low	like a continuous rumbling and screeching of train wheels	timbre is a mix of mechanical rumbling and screeching
45	hammering nails	evoking industriousness and construction	sounds like bang, thud, and clank	pitch is sharp, loud, and medium-high	like a rhythmic and forceful striking of nails	timbre is a sharp and percussive impact with metallic resonance
46	church bell ringing	evoking a sense of reverence or spirituality	sounds like dong, toll, and chime	pitch is deep, resonant, and low	like a majestic and solemn tolling	timbre is a rich, reverberating tone
47	dog growling	evoking fear or caution	sounds like grrr, snarl, and rumble	pitch is low, deep, and menacing	like a warning sign of aggression or territoriality	timbre is guttural, rough, and aggressive
48	playing harmonica	evoking emotions of nostalgia and longing	sounds like wail, bend, and trill	pitch is bluesy, soulful, and variable	like a soulful and expressive melody	timbre is a breathy and expressive wail
49	orchestra	evoking a range of emotions depending on the composition	sounds like swell, crescendo, and flourish	pitch is diverse, encompassing a wide range of frequencies	like a harmonious and grand ensemble of instruments	timbre is a rich and layered combination of various instruments
50	playing table tennis	evoking competitiveness and agility	sounds like ping, pong, and thud	pitch is quick, sharp, and high	like a fast-paced and rhythmic exchange of hits	timbre is a rapid and percussive impact
51	playing steel guitar, slide guitar	evoking emotions of nostalgia or longing	sounds like slide, glide, and twang	pitch is soulful, twangy, and variable	like a soulful and expressive melody with sliding notes	timbre is a smooth and resonant metallic tone
52	playing squash	evoking competitiveness and agility	sounds like thwack, bounce, and echo	pitch is sharp, quick, and high	like a fast-paced and intense exchange of hits	timbre is a sharp and percussive impact
53	skateboarding	evoking excitement and adrenaline	sounds like wheels rolling, grinding, and landing	pitch is sharp, quick, and medium-high	like a rhythmic and energetic movement on a skateboard	timbre is a combination of rolling wheels, scraping, and occasional impacts
54	playing bass drum	evoking a sense of power and intensity	sounds like thud, boom, and thump	pitch is deep, low, and resonant	like a powerful and rhythmic percussive beat	timbre is a deep and booming impact
55	horse neighing	evoking alertness or excitement	sounds like neigh, whinny, and snort	pitch is high, piercing, and expressive	like a powerful and expressive vocalization	timbre is a vibrant and resonant whinny
56	police radio chatter	evoking urgency and law enforcement activities	sounds like crackle, static, and rapid speech	pitch is sharp, quick, and medium-high	like a constant stream of urgent communication	timbre is a mix of static, voices, and occasional bursts of noise
57	playing double bass	evoking a sense of depth and groove	sounds like thump, pluck, and rumble	pitch is deep, resonant, and low	like a deep and resonant foundation of the music	timbre is rich, warm, and woody
58	horse clip-clop	evoking a sense of movement and elegance	sounds like clip-clop, clop-clop, and trot-trot	pitch is rhythmic, medium, and steady	like a steady and rhythmic beat of hooves on the ground	timbre is a rhythmic and percussive hoofbeat
59	playing cello	evoking introspection and depth of emotion	sounds like a deep, soulful hum and a resonant bowing	pitch is deep, resonant, and low	like a melancholic and emotive melody	timbre is warm, rich, and expressive
60	people booing	evoking negativity, disappointment, or protest	sounds like boo, hiss, and jeer	pitch is dissonant, harsh, and low	like a cacophony of disapproval	timbre is a collective expression of disapproval and negativity
61	gibbon howling	evoking mystery or wilderness	sounds like whoop, hoo-hoo, and wail	pitch is haunting, eerie, and high	like a haunting and primal cry	timbre is a combination of hooting and wailing
62	raining	evoking tranquility and relaxation	sounds like pitter-patter, drip-drop, and splish-splash	pitch is gentle, soft, and low	like a gentle and continuous rainfall	timbre is a soothing and rhythmic patter
63	missile launch	evoking tension and danger	sounds like whoosh, boom, and rumble	pitch is deep, rumbling, and low	like a thunderous and forceful explosion	timbre is a powerful and explosive roar
64	toilet flushing	evoking cleanliness and hygiene	sounds like whoosh, gurgle, and splash	pitch is low, deep, and rumbling	like a forceful and rapid water flow	timbre is a rushing and swirling water sound
65	driving buses	evoking transportation and movement	sounds like rumble, hiss, and screech	pitch is deep, rumbling, and low	like a constant and powerful engine in motion	timbre is a steady hum and engine roar
66	playing electric guitar	evoking energy and intensity	sounds like crunch, wail, and feedback	pitch is distorted, gritty, and variable	like a powerful and expressive guitar solo	timbre is a raw and edgy distortion, with a mix of sustain and attack
67	motorboat, speedboat acceleration	evoking excitement and adrenaline	sounds like vroom, rumble, and roar	pitch is deep, roaring, and low	like a thunderous and powerful acceleration	timbre is a powerful and rumbling engine noise
68	playing didgeridoo	evoking a sense of connection to nature and spirituality	sounds like hum, growl, and resonate	pitch is deep, resonant, and low	like a continuous and rhythmic drone with subtle variations	timbre is a distinctive and earthy drone
69	playing glockenspiel	evoking a sense of playfulness or innocence	sounds like ting, chime, and shimmer	pitch is bright, clear, and high	like a delicate and shimmering cascade of notes	timbre is metallic and bell-like
70	skiing	evoking exhilaration and speed	sounds like swoosh, scrape, and crunch	pitch is fast, swooshing, and medium-high	like a rhythmic and gliding motion on snow	timbre is a crisp and swishing sound
71	playing oboe	evoking melancholy or introspection	sounds like ree, trill, and mournful wail	pitch is expressive, piercing, and medium-high	like a soulful and expressive melody	timbre is reedy, nasal, and expressive
72	sheep bleating	evoking innocence or pastoral scenes	sounds like baa, bleat, and meh	pitch is high, nasal, and repetitive	like a repetitive and plaintive call	timbre is a nasal and plaintive cry
73	arc welding	evoking industriousness and intensity	sounds like crackle, sizzle, and pop	pitch is sharp, buzzing, and high	like a continuous and intense electrical discharge	timbre is a crackling, sizzling, and hissing
74	playing cornet	evoking excitement or nostalgia	sounds like blare, trill, and flutter	pitch is bright, brassy, and medium-high	like a vibrant and expressive brass instrument performance	timbre is a clear and focused brass sound
75	lighting firecrackers	evoking excitement or celebration	sounds like bang, crackle, and sizzle	pitch is explosive, sharp, and high	like a rapid and explosive burst of noise	timbre is a sudden burst of crackling and popping
76	bowling impact	evoking excitement and anticipation	sounds like thud, crash, and rumble	pitch is deep, low, and resonant	like a powerful collision of ball and pins	timbre is a heavy and booming thud
77	cow lowing	evoking calmness or rural ambiance	sounds like moo, bellow, and mooo	pitch is deep, low, and resonant	like a deep and resonant call of a cow	timbre is a deep and resonant moo
78	chimpanzee pant-hooting	evoking communication, excitement, or territorial display	sounds like hoo-hoo-hoo, pant-pant-pant, and grunt-grunt-grunt	pitch is deep, resonant, and variable	like a rhythmic and expressive vocalization of chimpanzees	timbre is a combination of hooting, panting, and grunting
79	planing timber	evoking craftsmanship and woodworking	sounds like shhh, scrape, and hum	pitch is steady, low, and rhythmic	like a consistent and rhythmic motion of planing wood	timbre is a smooth and resonant scraping
80	fire crackling	evoking warmth and coziness	sounds like crackle, snap, and sizzle	pitch is low, crackling, and intermittent	like a comforting and soothing dance of flames	timbre is a gentle, rhythmic crackling with occasional pops
81	pigeon, dove cooing	evoking tranquility and peace	sounds like coo, coo-coo, and coo-roo	pitch is soft, gentle, and low	like a gentle and rhythmic cooing melody	timbre is soothing and melodic
82	people finger snapping	evoking rhythm and groove	sounds like snap, click, and pop	pitch is sharp, quick, and medium-high	like a rhythmic and snappy hand gesture	timbre is a crisp and percussive snap
83	playing tabla	evoking energy and rhythm	sounds like ta, tin, and dhin	pitch is rhythmic, percussive, and variable	like a rhythmic and intricate pattern of beats	timbre is a resonant and percussive blend of tones
84	cupboard opening or closing	evoking familiarity or domesticity	sounds like creak, squeak, and thud	pitch is low, creaky, and medium	like a slow and deliberate movement of a wooden door	timbre is a squeaky and wooden creak
85	crow cawing	evoking a sense of mystery or foreboding	sounds like caw, caw, and caw	pitch is deep, harsh, and low	like a rough and grating call	timbre is rough and raspy
86	fire truck siren	evoking urgency and emergency	sounds like wail, whoop, and blare	pitch is piercing, high, and urgent	like a piercing and urgent warning signal	timbre is a wailing, oscillating tone
87	vehicle horn, car horn, honking	evoking alertness or warning	sounds like honk, beep, and blare	pitch is sharp, loud, and piercing	like a sudden and attention-grabbing burst of sound	timbre is a harsh and abrupt blast
88	playing washboard	evoking a lively and energetic atmosphere	sounds like scrape, clank, and rattle	pitch is rhythmic, metallic, and medium-high	like a rhythmic and percussive scraping on a textured surface	timbre is a metallic scraping and rattling
89	pumping water	evoking productivity or water flow	sounds like chug, gurgle, and splash	pitch is rhythmic, low, and steady	like a repetitive and steady pumping motion	timbre is a mechanical whirring and splashing
90	beat boxing	evoking energy and creativity	sounds like boom, pshh, and kch	pitch is percussive, rhythmic, and variable	like a rhythmic and expressive vocal percussion performance	timbre is a combination of vocal sounds and percussive beats
91	cat growling	evoking fear or caution	sounds like grrr, hiss, and snarl	pitch is low, deep, and menacing	like a threatening and territorial warning	timbre is guttural, rough, and aggressive
92	playing trumpet	evoking energy and excitement	sounds like blare, trill, and growl	pitch is bold, bright, and high	like a powerful and expressive brass instrument	timbre is brassy, vibrant, and resonant
93	playing bagpipes	evoking a sense of tradition and cultural heritage	sounds like drone, wail, and skirl	pitch is deep, resonant, and droning	like a continuous and melancholic drone with intermittent melodic bursts	timbre is a distinctive and haunting blend of drone and melody
94	playing banjo	evoking a sense of folk or country music	sounds like pluck, strum, and twang	pitch is twangy, bright, and medium-high	like a lively and rhythmic stringed instrument	timbre is a metallic and resonant twang
95	woodpecker pecking tree	evoking nature and woodland ambiance	sounds like rat-a-tat-tat, knock-knock, and drumming	pitch is sharp, rhythmic, and medium-high	like a consistent and rhythmic pecking on wood	timbre is a rapid and percussive tapping
96	chicken crowing	evoking a sense of awakening or morning	sounds like cock-a-doodle-doo, caw-caw, and cluck	pitch is sharp, piercing, and high	like a loud and assertive call of a rooster	timbre is a raspy and distinctive call
97	people crowd	evoking a sense of liveliness and social interaction	sounds like murmur, buzz, and occasional shouts	pitch is varied, overlapping, and cacophonous	like a chaotic blend of conversations and background noise	timbre is a mixture of voices, chatter, and occasional laughter
98	rowboat, canoe, kayak rowing	evoking tranquility and connection with nature	sounds like splash, swish, and drip	pitch is rhythmic, low, and steady	like a rhythmic and repetitive motion of oars in water	timbre is a gentle splashing and swishing
99	forging swords	evoking strength and craftsmanship	sounds like clang, clank, and thud	pitch is deep, resonant, and low	like a rhythmic and forceful pounding on metal	timbre is a metallic clang and rhythmic hammering
100	footsteps on snow	evoking tranquility and winter ambiance	sounds like crunch, squeak, and soft thud	pitch is soft, muffled, and low	like a delicate and rhythmic pattern of steps	timbre is a gentle crunching and squeaking
101	mosquito buzzing	evoking annoyance or frustration	sounds like zzz, whine, and buzz	pitch is high-pitched, whiny, and irritating	like a persistent and annoying insect flying around	timbre is a thin and buzzing sound
102	driving motorcycle	evoking excitement and adrenaline	sounds like vroom, rumble, and rev	pitch is deep, roaring, and low	like a thunderous and powerful roar	timbre is a powerful and rumbling engine noise
103	air horn	evoking surprise or alarm	sounds like honk, blast, and screech	pitch is loud, piercing, and high	like a sudden and powerful burst of sound	timbre is a sharp and blaring blast
104	owl hooting	evoking a sense of mystery or darkness	sounds like hoo, hoo-hoo, and whoo	pitch is deep, low, and resonant	like a mysterious and echoing call in the night	timbre is haunting and hushed
105	child speech, kid speaking	evoking innocence and curiosity	sounds like babble, giggle, and sing-song	pitch is high-pitched, playful, and innocent	like a joyful and expressive conversation	timbre is light and cheerful
106	slot machine	evoking excitement and anticipation	sounds like jingle, clink, and chime	pitch is high, sharp, and repetitive	like a repetitive and rhythmic sequence of sounds	timbre is metallic and mechanical
107	playing flute	evoking tranquility or whimsy	sounds like flutter, trill, and breathy notes	pitch is melodious, airy, and high	like a graceful and enchanting melody	timbre is pure and ethereal
108	lions growling	evoking fear or intimidation	sounds like roar, rumble, and snarl	pitch is deep, low, and rumbling	like a deep and resonant growl	timbre is a powerful and menacing rumble
109	playing synthesizer	evoking a sense of innovation and experimentation	sounds like bleep, sweep, and whoosh	pitch is electronic, modulated, and variable	like a blend of electronic tones and modulations	timbre is synthetic, futuristic, and textured
110	car engine knocking	evoking concern or mechanical issues	sounds like knock, clunk, and rattle	pitch is irregular, deep, and low	like a rhythmic and unsettling mechanical noise	timbre is a repetitive, metallic thumping
111	railroad car, train wagon	evoking power and movement	sounds like rumble, clank, and screech	pitch is deep, rumbling, and low	like a continuous rumbling and clanking of metal wheels on tracks	timbre is a heavy, metallic rumble
112	playing drum kit	evoking energy and rhythm	sounds like bang, crash, and roll	pitch is percussive, deep, and variable	like a rhythmic and energetic beat	timbre is a sharp and resonant impact
113	sharpen knife	evoking focus and preparation	sounds like scrape, grind, and whet	pitch is sharp, metallic, and high	like a repetitive and rhythmic motion of sharpening a blade	timbre is a metallic scraping and grinding
114	playing accordion	evoking joy, nostalgia, or cultural ambiance	sounds like squeeze, wheeze, and trill	pitch is lively, vibrant, and medium-high	like a lively and rhythmic dance of melodies	timbre is a distinct and expressive blend of reeds and bellows
115	playing trombone	evoking soulfulness and jazziness	sounds like wah-wah, slide, and growl	pitch is deep, bold, and low	like a smooth and expressive brass instrument	timbre is brassy, resonant, and expressive
116	train whistling	evoking a sense of urgency or departure	sounds like toot, wail, and screech	pitch is piercing, high, and shrill	like a piercing and echoing call	timbre is sharp and resonant
117	reversing beeps	evoking caution and alertness	sounds like beep, beep, beep	pitch is high, sharp, and repetitive	like a consistent and repetitive warning signal	timbre is a beeping tone with a slight metallic quality
118	singing choir	evoking a sense of unity, spirituality, or grandeur	sounds like harmonious, angelic, and ethereal	pitch is harmonious, varied, and balanced	like a collective and harmonious blend of voices	timbre is a blend of voices, harmonies, and dynamics
119	chainsawing trees	evoking strength and productivity	sounds like vroom, grind, and rumble	pitch is deep, roaring, and low	like a powerful and relentless cutting motion	timbre is a loud and mechanical buzz
120	printer printing	evoking productivity or work in progress	sounds like whirr, click, and buzz	pitch is low, mechanical, and constant	like a steady and repetitive mechanical process	timbre is a rhythmic whirring and clicking
121	chicken clucking	evoking a sense of farm or rural environment	sounds like cluck, cluck, cluck	pitch is high, repetitive, and medium	like a rhythmic and repetitive pattern of chicken vocalizations	timbre is a sharp and rhythmic clucking sound
122	underwater bubbling	evoking tranquility and serenity	sounds like gurgle, bubble, and swish	pitch is muffled, low, and gurgling	like a rhythmic and soothing underwater flow	timbre is a bubbling and gurgling water sound
123	ice cracking	evoking anticipation or tension	sounds like crack, snap, and creak	pitch is sharp, brittle, and high	like a sudden and brittle fracture	timbre is a sharp and crisp snap
124	people nose blowing	evoking relief or clearing of nasal passages	sounds like honk, snort, and sniffle	pitch is brief, nasal, and low	like a quick and forceful release of air through the nose	timbre is a quick and forceful expulsion of air
125	playing lacrosse	evoking competitiveness and agility	sounds like thwack, clack, and swoosh	pitch is sharp, quick, and medium-high	like a fast-paced and intense exchange of hits and passes	timbre is a sharp and percussive impact
126	playing timpani	evoking grandeur and intensity	sounds like boom, thud, and rumble	pitch is deep, resonant, and low	like a powerful and rhythmic percussion	timbre is a booming and resonant impact
127	tapping guitar	evoking rhythm and groove	sounds like tap, knock, and click	pitch is bright, percussive, and medium-high	like a rhythmic and percussive tapping on the guitar body or strings	timbre is a crisp and percussive tap
128	door slamming	evoking surprise or startle	sounds like bang, slam, and thud	pitch is sharp, sudden, and loud	like a sudden and forceful closure	timbre is a sharp and percussive impact
129	turkey gobbling	evoking a sense of nature and wildlife	sounds like gobble-gobble, glug-glug, and cluck-cluck	pitch is deep, resonant, and low	like a deep and resonant call of a turkey	timbre is guttural, throaty, and distinctive
130	playing french horn	evoking a sense of grandeur or elegance	sounds like mellow, smooth, and majestic	pitch is deep, warm, and mellow	like a deep and resonant brass instrument	timbre is rich, brassy, and resonant
131	playing saxophone	evoking emotions such as nostalgia or passion	sounds like honk, wail, and trill	pitch is smooth, expressive, and medium	like a soulful and expressive melody	timbre is warm, breathy, and soulful
132	sea waves	evoking tranquility and relaxation	sounds like whoosh, crash, and roar	pitch is deep, soothing, and low	like a continuous and rhythmic ebb and flow	timbre is a rhythmic and soothing crashing
133	using sewing machines	evoking productivity and craftsmanship	sounds like hum, buzz, and clack	pitch is steady, mechanical, and medium	like a steady and rhythmic mechanical operation	timbre is a rhythmic whirring and clicking
134	playing clarinet	evoking emotions ranging from melancholy to joy	sounds like trill, slur, and breathy notes	pitch is smooth, mellow, and mid-range	like a soulful and expressive melody	timbre is warm, woody, and expressive
135	vacuum cleaner cleaning floors	evoking cleanliness and tidiness	sounds like vroom, hum, and suction	pitch is steady, low, and constant	like a steady and rhythmic cleaning process	timbre is a deep and humming whir
136	eletric blender running	evoking efficiency and productivity	sounds like whirr, buzz, and blend	pitch is steady, high, and whirring	like a constant and rhythmic blending of ingredients	timbre is mechanical and buzzing
137	car engine idling	evoking a sense of stability or anticipation	sounds like vroom, purr, and rumble	pitch is low, steady, and rumbling	like a steady and rhythmic engine running	timbre is a deep and continuous hum
138	dog whimpering	evoking sadness or distress	sounds like whine, whimper, and snuffle	pitch is high, soft, and plaintive	like a gentle and sorrowful plea	timbre is a soft and whining tone
139	thunder	evoking awe or fear	sounds like rumble, crack, and boom	pitch is deep, rumbling, and low	like a powerful and explosive force of nature	timbre is a booming and reverberating resonance
140	basketball bounce	evoking energy and athleticism	sounds like dribble, thump, and bounce	pitch is sharp, quick, and medium-high	like a repetitive and rhythmic bouncing of the ball	timbre is a distinct and rhythmic impact
141	playing theremin	evoking curiosity and intrigue	sounds like wooo, wail, and swoop	pitch is ethereal, eerie, and variable	like a mysterious and atmospheric melody	timbre is a haunting and otherworldly tone
142	people sobbing	evoking deep sorrow and emotional pain	sounds like wailing, gasping, and sniffling	pitch is low, trembling, and inconsolable	like a heart-wrenching expression of grief and sadness	timbre is choked, quivering, and filled with sorrow
143	lawn mowing	evoking productivity and maintenance	sounds like vroom, hum, and rattle	pitch is steady, low, and constant	like a continuous and rhythmic mechanical operation	timbre is a buzzing and whirring noise
144	playing castanets	evoking energy and flamenco vibes	sounds like click, clack, and tap	pitch is sharp, percussive, and high	like a lively and rhythmic dance accompaniment	timbre is a crisp and rhythmic clacking
145	pig oinking	evoking playfulness or farm-like atmosphere	sounds like oink, snort, and grunt	pitch is low, grunting, and snorting	like a rhythmic and repetitive snuffling sound	timbre is nasal and snuffling
146	fox barking	evoking curiosity or alertness	sounds like yip-yip, bark, and howl	pitch is high-pitched, sharp, and piercing	like a sharp and piercing call of a fox	timbre is a sharp and distinctive yelp
147	playing ukulele	evoking joy and relaxation	sounds like strum, pluck, and twang	pitch is bright, cheerful, and medium-high	like a rhythmic and uplifting melody	timbre is a warm and mellow strumming
148	parrot talking	evoking curiosity and amusement	sounds like squawk, mimicry of words and phrases	pitch is variable, mimicry of human speech	like a playful and imitative conversation	timbre is a clear and distinct imitation of human voice
149	playing cymbal	evoking excitement or intensity	sounds like crash, clang, and sizzle	pitch is bright, metallic, and high	like a sharp and resonant metallic collision	timbre is a shimmering and resonant clash
150	people shuffling	evoking a sense of movement or activity	sounds like shuffle, scuffle, and whisper	pitch is low, soft, and muffled	like a gentle and continuous movement of feet	timbre is a rustling and shuffling sound
151	playing steelpan	evoking joy and Caribbean vibes	sounds like ting, ding, and boom	pitch is vibrant, percussive, and medium-high	like a rhythmic and lively interplay of notes	timbre is metallic, resonant, and percussive
152	people eating noodle	evoking satisfaction and enjoyment	sounds like slurp, chew, and gulp	pitch is soft, low, and occasional slurping sounds	like a rhythmic and occasional slurping and chewing sounds	timbre is a combination of chewing, slurping, and occasional sipping
153	people farting	evoking humor or embarrassment	sounds like pffft, poot, and brrrrt	pitch is low, flatulent, and variable	like a comical release of gas	timbre is a comedic, airy, and sometimes wet sound
154	running electric fan	evoking a sense of cooling or relaxation	sounds like whirr, hum, and gentle breeze	pitch is steady, low, and constant	like a steady and rhythmic airflow	timbre is a consistent whirring or humming
155	mouse clicking	evoking efficiency and productivity	sounds like click, tap, and snap	pitch is sharp, quick, and low	like a precise and deliberate action	timbre is a distinct and crisp click
156	ice cream truck, ice cream van	evoking joy and anticipation	sounds like jingle, chimes, and tinkling bells	pitch is cheerful, high, and melodic	like a playful and inviting tune	timbre is a jingle-like melody with a hint of nostalgia
157	playing tympani	evoking intensity and grandeur	sounds like boom, thud, and rumble	pitch is deep, booming, and low	like a powerful and resonating drumbeat	timbre is resonant, thunderous, and percussive
158	chopping food	evoking productivity and preparation	sounds like chop, slice, and thud	pitch is sharp, quick, and medium-high	like a rhythmic and precise cutting motion	timbre is a crisp and percussive impact
159	canary calling	evoking cheerfulness or joy	sounds like trill, chirp, and warble	pitch is high, clear, and melodious	like a melodious and rhythmic song	timbre is sweet and vibrant
